sample_ID,Run ID,Assay Name,Test Name,Test Date,Qubit? tube conc.,Units,Original sample conc.,Units,Sample Volume (?L),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
FA046,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081020,2024/10/25 08:10:20,1.12,?g/mL,224,ng/?L,1,200,89.91,24330.6,,Blue,Green,6704.1,
FA047,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081028,2024/10/25 08:10:28,4.92,?g/mL,984,ng/?L,1,200,89.91,24330.6,,Blue,Green,24014.44,
FA048,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081035,2024/10/25 08:10:35,5.9,?g/mL,1180,ng/?L,1,200,89.91,24330.6,,Blue,Green,27626.17,
FA049,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081042,2024/10/25 08:10:42,2.92,?g/mL,584,ng/?L,1,200,89.91,24330.6,,Blue,Green,15781.69,
FA050,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081050,2024/10/25 08:10:50,0.924,?g/mL,185,ng/?L,1,200,89.91,24330.6,,Blue,Green,5617.67,
FA051,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081057,2024/10/25 08:10:57,4.95,?g/mL,990,ng/?L,1,200,89.91,24330.6,,Blue,Green,24133.91,
FA055,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081105,2024/10/25 08:11:05,3.85,?g/mL,770,ng/?L,1,200,89.91,24330.6,,Blue,Green,19797.03,
FA056,2024-10-25_080957,dsDNA Broad range,Sample_#241025-081112,2024/10/25 08:11:12,3.96,?g/mL,792,ng/?L,1,200,89.91,24330.6,,Blue,Green,20244.74,
