,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,DNMT1,Unkn-01,C3M,,30.2989118065866,30.2182512597234,0.0835180023237641,NaN,NaN,NaN,NaN,60,
,A02,SYBR,DNMT1,Unkn-01,C3M,,30.223699407485,30.2182512597234,0.0835180023237641,NaN,NaN,NaN,NaN,60,
,A03,SYBR,DNMT1,Unkn-01,C3M,,30.1321425650986,30.2182512597234,0.0835180023237641,NaN,NaN,NaN,NaN,60,
,A04,SYBR,DNMT1,Unkn-02,C4M,,31.4710509506528,31.321655603045,0.206333763443064,NaN,NaN,NaN,NaN,60,
,A05,SYBR,DNMT1,Unkn-02,C4M,,31.0862271153894,31.321655603045,0.206333763443064,NaN,NaN,NaN,NaN,60,
,A06,SYBR,DNMT1,Unkn-02,C4M,,31.4076887430927,31.321655603045,0.206333763443064,NaN,NaN,NaN,NaN,60,
,A07,SYBR,DNMT1,Unkn-03,C5M,,30.8516997677372,30.7233238021632,0.137051453468241,NaN,NaN,NaN,NaN,60,
,A08,SYBR,DNMT1,Unkn-03,C5M,,30.5789933868266,30.7233238021632,0.137051453468241,NaN,NaN,NaN,NaN,60,
,A09,SYBR,DNMT1,Unkn-03,C5M,,30.7392782519258,30.7233238021632,0.137051453468241,NaN,NaN,NaN,NaN,60,
,A10,SYBR,DNMT1,Unkn-04,D1M,,30.376733920972,30.5328049238323,0.276966440544951,NaN,NaN,NaN,NaN,60,
,A11,SYBR,DNMT1,Unkn-04,D1M,,30.8525877949229,30.5328049238323,0.276966440544951,NaN,NaN,NaN,NaN,60,
,A12,SYBR,DNMT1,Unkn-04,D1M,,30.3690930556018,30.5328049238323,0.276966440544951,NaN,NaN,NaN,NaN,60,
,B01,SYBR,DNMT1,Unkn-05,D2M,,30.0228087555064,29.7928096266111,0.201604489249145,NaN,NaN,NaN,NaN,60,
,B02,SYBR,DNMT1,Unkn-05,D2M,,29.7089495967774,29.7928096266111,0.201604489249145,NaN,NaN,NaN,NaN,60,
,B03,SYBR,DNMT1,Unkn-05,D2M,,29.6466705275495,29.7928096266111,0.201604489249145,NaN,NaN,NaN,NaN,60,
,B04,SYBR,DNMT1,Unkn-06,D3M,,30.7697018686403,30.5265896725676,0.2105604094326,NaN,NaN,NaN,NaN,60,
,B05,SYBR,DNMT1,Unkn-06,D3M,,30.4021996530483,30.5265896725676,0.2105604094326,NaN,NaN,NaN,NaN,60,
,B06,SYBR,DNMT1,Unkn-06,D3M,,30.4078674960143,30.5265896725676,0.2105604094326,NaN,NaN,NaN,NaN,60,
