,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_cGAS (SR IDs,Unkn-01,D2PC,,30.4442704866601,30.4048676994351,0.193842931738195,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_cGAS (SR IDs,Unkn-01,D2PC,,30.5759820479773,30.4048676994351,0.193842931738195,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_cGAS (SR IDs,Unkn-01,D2PC,,30.1943505636679,30.4048676994351,0.193842931738195,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_cGAS (SR IDs,Unkn-02,D3PC,,31.5816384968425,31.6199328911522,0.117889513981625,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_cGAS (SR IDs,Unkn-02,D3PC,,31.7522087408676,31.6199328911522,0.117889513981625,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_cGAS (SR IDs,Unkn-02,D3PC,,31.5259514357465,31.6199328911522,0.117889513981625,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_cGAS (SR IDs,Unkn-03,D4PC,,29.5234687411488,29.8691565302668,0.721682340829598,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_cGAS (SR IDs,Unkn-03,D4PC,,29.3853419402188,29.8691565302668,0.721682340829598,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_cGAS (SR IDs,Unkn-03,D4PC,,30.6986589094327,29.8691565302668,0.721682340829598,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_cGAS (SR IDs,Unkn-04,D5PC,,30.2972475606432,30.4035804826063,0.157377280902417,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_cGAS (SR IDs,Unkn-04,D5PC,,30.3291240975754,30.4035804826063,0.157377280902417,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_cGAS (SR IDs,Unkn-04,D5PC,,30.5843697896004,30.4035804826063,0.157377280902417,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_cGAS (SR IDs,Unkn-05,D1PM,,29.7105417121979,29.3177794177006,0.340144475774599,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_cGAS (SR IDs,Unkn-05,D1PM,,29.122662950608,29.3177794177006,0.340144475774599,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_cGAS (SR IDs,Unkn-05,D1PM,,29.120133590296,29.3177794177006,0.340144475774599,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_cGAS (SR IDs,Unkn-06,D2PM,,30.5614389534372,30.4785223700133,0.0758996230222591,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_cGAS (SR IDs,Unkn-06,D2PM,,30.4616482789168,30.4785223700133,0.0758996230222591,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_cGAS (SR IDs,Unkn-06,D2PM,,30.4124798776859,30.4785223700133,0.0758996230222591,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Cg_cGAS (SR IDs,Unkn-07,D3PM,,29.1415292561446,28.9304764312412,0.319480526595766,NaN,NaN,NaN,NaN,60,
