,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_DNMT1_F (SR,Unkn-01,D2PC,,32.6027213800771,32.1548362602034,0.399103746704352,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_DNMT1_F (SR,Unkn-01,D2PC,,32.0248776892233,32.1548362602034,0.399103746704352,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_DNMT1_F (SR,Unkn-01,D2PC,,31.8369097113097,32.1548362602034,0.399103746704352,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_DNMT1_F (SR,Unkn-02,D3PC,,29.2648677494418,29.2363290161282,0.024721700959552,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_DNMT1_F (SR,Unkn-02,D3PC,,29.2214957133254,29.2363290161282,0.024721700959552,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_DNMT1_F (SR,Unkn-02,D3PC,,29.2226235856175,29.2363290161282,0.024721700959552,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_DNMT1_F (SR,Unkn-03,D4PC,,31.6110362772755,31.1912145493945,0.647575712638801,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_DNMT1_F (SR,Unkn-03,D4PC,,31.5171829546918,31.1912145493945,0.647575712638801,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_DNMT1_F (SR,Unkn-03,D4PC,,30.4454244162161,31.1912145493945,0.647575712638801,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_DNMT1_F (SR,Unkn-04,D5PC,,31.8142048119316,31.0652075956115,0.877471733323648,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_DNMT1_F (SR,Unkn-04,D5PC,,30.0997698871708,31.0652075956115,0.877471733323648,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_DNMT1_F (SR,Unkn-04,D5PC,,31.281648087732,31.0652075956115,0.877471733323648,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_DNMT1_F (SR,Unkn-05,D1PM,,30.0201508933086,29.7988533261757,0.196553745760951,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_DNMT1_F (SR,Unkn-05,D1PM,,29.6445706674837,29.7988533261757,0.196553745760951,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_DNMT1_F (SR,Unkn-05,D1PM,,29.731838417735,29.7988533261757,0.196553745760951,NaN,NaN,NaN,NaN,60,
