,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,ATP_synthase,Unkn-01,D2PC,,25.4798564577234,25.5027212619196,0.0443284748254318,NaN,NaN,NaN,NaN,60,
,A02,SYBR,ATP_synthase,Unkn-01,D2PC,,25.5538136467099,25.5027212619196,0.0443284748254318,NaN,NaN,NaN,NaN,60,
,A03,SYBR,ATP_synthase,Unkn-01,D2PC,,25.4744936813254,25.5027212619196,0.0443284748254318,NaN,NaN,NaN,NaN,60,
,A04,SYBR,ATP_synthase,Unkn-02,D3PC,,24.3479334740588,24.4303349691139,0.320245432385312,NaN,NaN,NaN,NaN,60,
,A05,SYBR,ATP_synthase,Unkn-02,D3PC,,24.1593424557066,24.4303349691139,0.320245432385312,NaN,NaN,NaN,NaN,60,
,A06,SYBR,ATP_synthase,Unkn-02,D3PC,,24.7837289775764,24.4303349691139,0.320245432385312,NaN,NaN,NaN,NaN,60,
,A07,SYBR,ATP_synthase,Unkn-03,D4PC,,25.4013212341702,25.3339482048926,0.0601061951751522,NaN,NaN,NaN,NaN,60,
,A08,SYBR,ATP_synthase,Unkn-03,D4PC,,25.2858252470319,25.3339482048926,0.0601061951751522,NaN,NaN,NaN,NaN,60,
,A09,SYBR,ATP_synthase,Unkn-03,D4PC,,25.3146981334756,25.3339482048926,0.0601061951751522,NaN,NaN,NaN,NaN,60,
,A10,SYBR,ATP_synthase,Unkn-04,D5PC,,25.2741362318949,25.2053549271367,0.0944047575807282,NaN,NaN,NaN,NaN,60,
,A11,SYBR,ATP_synthase,Unkn-04,D5PC,,25.2442043412561,25.2053549271367,0.0944047575807282,NaN,NaN,NaN,NaN,60,
,A12,SYBR,ATP_synthase,Unkn-04,D5PC,,25.0977242082592,25.2053549271367,0.0944047575807282,NaN,NaN,NaN,NaN,60,
,B01,SYBR,ATP_synthase,Unkn-05,D1PM,,24.7762662783828,24.6527490318026,0.135415712455452,NaN,NaN,NaN,NaN,60,
,B02,SYBR,ATP_synthase,Unkn-05,D1PM,,24.6740267410888,24.6527490318026,0.135415712455452,NaN,NaN,NaN,NaN,60,
,B03,SYBR,ATP_synthase,Unkn-05,D1PM,,24.507954075936,24.6527490318026,0.135415712455452,NaN,NaN,NaN,NaN,60,
,B04,SYBR,ATP_synthase,Unkn-06,D2PM,,24.302237738725,24.2772140707605,0.234394661549381,NaN,NaN,NaN,NaN,60,
,B05,SYBR,ATP_synthase,Unkn-06,D2PM,,24.0313115356052,24.2772140707605,0.234394661549381,NaN,NaN,NaN,NaN,60,
,B06,SYBR,ATP_synthase,Unkn-06,D2PM,,24.4980929379513,24.2772140707605,0.234394661549381,NaN,NaN,NaN,NaN,60,
,B07,SYBR,ATP_synthase,Unkn-07,D3PM,,25.0345322940051,25.0379664264893,0.0903236571569224,NaN,NaN,NaN,NaN,60,
,B08,SYBR,ATP_synthase,Unkn-07,D3PM,,24.9494088113818,25.0379664264893,0.0903236571569224,NaN,NaN,NaN,NaN,60,
,B09,SYBR,ATP_synthase,Unkn-07,D3PM,,25.1299581740809,25.0379664264893,0.0903236571569224,NaN,NaN,NaN,NaN,60,
,B10,SYBR,ATP_synthase,Unkn-08,D4PM,,25.1898207446789,25.1046152960978,0.0852130104189517,NaN,NaN,NaN,NaN,60,
,B11,SYBR,ATP_synthase,Unkn-08,D4PM,,25.1046304177609,25.1046152960978,0.0852130104189517,NaN,NaN,NaN,NaN,60,
,B12,SYBR,ATP_synthase,Unkn-08,D4PM,,25.0193947258536,25.1046152960978,0.0852130104189517,NaN,NaN,NaN,NaN,60,
,C01,SYBR,ATP_synthase,Unkn-09,D4PM,,24.8425044533778,24.7433329006236,0.0899155946053199,NaN,NaN,NaN,NaN,60,
,C02,SYBR,ATP_synthase,Unkn-09,D4PM,,24.6671282118632,24.7433329006236,0.0899155946053199,NaN,NaN,NaN,NaN,60,
,C03,SYBR,ATP_synthase,Unkn-09,D4PM,,24.7203660366299,24.7433329006236,0.0899155946053199,NaN,NaN,NaN,NaN,60,
,C04,SYBR,ATP_synthase,Unkn-10,A1PT,,24.0478730213665,24.1011197950025,0.122303752999986,NaN,NaN,NaN,NaN,60,
,C05,SYBR,ATP_synthase,Unkn-10,A1PT,,24.0144656738108,24.1011197950025,0.122303752999986,NaN,NaN,NaN,NaN,60,
,C06,SYBR,ATP_synthase,Unkn-10,A1PT,,24.2410206898303,24.1011197950025,0.122303752999986,NaN,NaN,NaN,NaN,60,
,C07,SYBR,ATP_synthase,Unkn-11,A2PT,,24.3783728541044,24.5963019158434,0.206579722866666,NaN,NaN,NaN,NaN,60,
,C08,SYBR,ATP_synthase,Unkn-11,A2PT,,24.7892627260165,24.5963019158434,0.206579722866666,NaN,NaN,NaN,NaN,60,
,C09,SYBR,ATP_synthase,Unkn-11,A2PT,,24.6212701674093,24.5963019158434,0.206579722866666,NaN,NaN,NaN,NaN,60,
,C10,SYBR,ATP_synthase,Unkn-12,A3PT,,24.1154052478981,23.9923414659134,0.163724450038141,NaN,NaN,NaN,NaN,60,
,C11,SYBR,ATP_synthase,Unkn-12,A3PT,,23.8065229114651,23.9923414659134,0.163724450038141,NaN,NaN,NaN,NaN,60,
,C12,SYBR,ATP_synthase,Unkn-12,A3PT,,24.055096238377,23.9923414659134,0.163724450038141,NaN,NaN,NaN,NaN,60,
,D01,SYBR,ATP_synthase,Unkn-13,A4PT,,24.6505159153264,24.6154338924704,0.039596698232346,NaN,NaN,NaN,NaN,60,
,D02,SYBR,ATP_synthase,Unkn-13,A4PT,,24.6232865271994,24.6154338924704,0.039596698232346,NaN,NaN,NaN,NaN,60,
,D03,SYBR,ATP_synthase,Unkn-13,A4PT,,24.5724992348853,24.6154338924704,0.039596698232346,NaN,NaN,NaN,NaN,60,
,D04,SYBR,ATP_synthase,Unkn-14,A5PT,,24.1658988513358,24.1737570466462,0.134290142715129,NaN,NaN,NaN,NaN,60,
,D05,SYBR,ATP_synthase,Unkn-14,A5PT,,24.0435685503576,24.1737570466462,0.134290142715129,NaN,NaN,NaN,NaN,60,
,D06,SYBR,ATP_synthase,Unkn-14,A5PT,,24.3118037382453,24.1737570466462,0.134290142715129,NaN,NaN,NaN,NaN,60,
,D07,SYBR,ATP_synthase,Unkn-15,B1PT,,24.1232179704404,24.0055860096248,0.139826460800462,NaN,NaN,NaN,NaN,60,
,D08,SYBR,ATP_synthase,Unkn-15,B1PT,,23.8509917410407,24.0055860096248,0.139826460800462,NaN,NaN,NaN,NaN,60,
,D09,SYBR,ATP_synthase,Unkn-15,B1PT,,24.0425483173933,24.0055860096248,0.139826460800462,NaN,NaN,NaN,NaN,60,
,D10,SYBR,ATP_synthase,Unkn-16,B2PT,,24.9492315575451,25.1186662923936,0.175276191662125,NaN,NaN,NaN,NaN,60,
,D11,SYBR,ATP_synthase,Unkn-16,B2PT,,25.1075158011075,25.1186662923936,0.175276191662125,NaN,NaN,NaN,NaN,60,
,D12,SYBR,ATP_synthase,Unkn-16,B2PT,,25.2992515185281,25.1186662923936,0.175276191662125,NaN,NaN,NaN,NaN,60,
,E01,SYBR,ATP_synthase,Unkn-17,B3PT,,24.7120545601227,24.6237667710094,0.07787728085226,NaN,NaN,NaN,NaN,60,
,E02,SYBR,ATP_synthase,Unkn-17,B3PT,,24.5648302907067,24.6237667710094,0.07787728085226,NaN,NaN,NaN,NaN,60,
,E03,SYBR,ATP_synthase,Unkn-17,B3PT,,24.5944154621987,24.6237667710094,0.07787728085226,NaN,NaN,NaN,NaN,60,
,E04,SYBR,ATP_synthase,Unkn-18,B4PT,,25.1640404192738,25.1001531933862,0.0645710214234701,NaN,NaN,NaN,NaN,60,
,E05,SYBR,ATP_synthase,Unkn-18,B4PT,,25.0349194379981,25.1001531933862,0.0645710214234701,NaN,NaN,NaN,NaN,60,
,E06,SYBR,ATP_synthase,Unkn-18,B4PT,,25.1014997228866,25.1001531933862,0.0645710214234701,NaN,NaN,NaN,NaN,60,
,E07,SYBR,ATP_synthase,Unkn-19,B5PT,,25.0466436154307,24.9920461885269,0.0796775967132736,NaN,NaN,NaN,NaN,60,
,E08,SYBR,ATP_synthase,Unkn-19,B5PT,,24.9006158904258,24.9920461885269,0.0796775967132736,NaN,NaN,NaN,NaN,60,
,E09,SYBR,ATP_synthase,Unkn-19,B5PT,,25.0288790597243,24.9920461885269,0.0796775967132736,NaN,NaN,NaN,NaN,60,
,E10,SYBR,ATP_synthase,Unkn-20,C1PT,,24.0493985697485,24.1324613089582,0.0728077953306989,NaN,NaN,NaN,NaN,60,
,E11,SYBR,ATP_synthase,Unkn-20,C1PT,,24.1852359466448,24.1324613089582,0.0728077953306989,NaN,NaN,NaN,NaN,60,
