,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,HSP70,Unkn-01,C3M,,28.5175584254553,28.4841103530433,0.340209510331926,NaN,NaN,NaN,NaN,60,
,A02,SYBR,HSP70,Unkn-01,C3M,,28.1284122311623,28.4841103530433,0.340209510331926,NaN,NaN,NaN,NaN,60,
,A03,SYBR,HSP70,Unkn-01,C3M,,28.8063604025124,28.4841103530433,0.340209510331926,NaN,NaN,NaN,NaN,60,
,A04,SYBR,HSP70,Unkn-02,C4M,,29.4567870797733,29.4902782943562,0.156119593828918,NaN,NaN,NaN,NaN,60,
,A05,SYBR,HSP70,Unkn-02,C4M,,29.3536222018962,29.4902782943562,0.156119593828918,NaN,NaN,NaN,NaN,60,
,A06,SYBR,HSP70,Unkn-02,C4M,,29.6604256013991,29.4902782943562,0.156119593828918,NaN,NaN,NaN,NaN,60,
,A07,SYBR,HSP70,Unkn-03,C5M,,26.8550633663431,27.0875334021129,0.243194812607874,NaN,NaN,NaN,NaN,60,
,A08,SYBR,HSP70,Unkn-03,C5M,,27.3401941460588,27.0875334021129,0.243194812607874,NaN,NaN,NaN,NaN,60,
,A09,SYBR,HSP70,Unkn-03,C5M,,27.0673426939369,27.0875334021129,0.243194812607874,NaN,NaN,NaN,NaN,60,
,A10,SYBR,HSP70,Unkn-04,D1M,,29.4461801631891,29.3510270942946,0.0833053359739667,NaN,NaN,NaN,NaN,60,
,A11,SYBR,HSP70,Unkn-04,D1M,,29.315665268673,29.3510270942946,0.0833053359739667,NaN,NaN,NaN,NaN,60,
,A12,SYBR,HSP70,Unkn-04,D1M,,29.2912358510216,29.3510270942946,0.0833053359739667,NaN,NaN,NaN,NaN,60,
,B01,SYBR,HSP70,Unkn-05,D2M,,26.5737193615194,26.7497336447399,0.220699576400718,NaN,NaN,NaN,NaN,60,
,B02,SYBR,HSP70,Unkn-05,D2M,,26.9973419520735,26.7497336447399,0.220699576400718,NaN,NaN,NaN,NaN,60,
,B03,SYBR,HSP70,Unkn-05,D2M,,26.6781396206269,26.7497336447399,0.220699576400718,NaN,NaN,NaN,NaN,60,
,B04,SYBR,HSP70,Unkn-06,D3M,,29.5637781328689,29.5917966997526,0.130748552476622,NaN,NaN,NaN,NaN,60,
