,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,ATPase,Unkn-01,A1PC,,29.4984613225643,27.8511158356498,3.78328388068176,NaN,NaN,NaN,NaN,60,
,A02,SYBR,ATPase,Unkn-01,A1PC,,30.5314303291675,27.8511158356498,3.78328388068176,NaN,NaN,NaN,NaN,60,
,A03,SYBR,ATPase,Unkn-01,A1PC,,23.5234558552176,27.8511158356498,3.78328388068176,NaN,NaN,NaN,NaN,60,
,A04,SYBR,ATPase,Unkn-02,A2PC,,29.798615838082,27.700064789809,4.12028012752849,NaN,NaN,NaN,NaN,60,
,A05,SYBR,ATPase,Unkn-02,A2PC,,30.3485955008138,27.700064789809,4.12028012752849,NaN,NaN,NaN,NaN,60,
,A06,SYBR,ATPase,Unkn-02,A2PC,,22.9529830305311,27.700064789809,4.12028012752849,NaN,NaN,NaN,NaN,60,
,A07,SYBR,ATPase,Unkn-03,A3PC,,29.6225509003023,30.0640687976768,0.425770777805409,NaN,NaN,NaN,NaN,60,
,A08,SYBR,ATPase,Unkn-03,A3PC,,30.0975386250662,30.0640687976768,0.425770777805409,NaN,NaN,NaN,NaN,60,
,A09,SYBR,ATPase,Unkn-03,A3PC,,30.4721168676619,30.0640687976768,0.425770777805409,NaN,NaN,NaN,NaN,60,
,A10,SYBR,ATPase,Unkn-04,A4PC,,31.5192698096707,32.4332836494504,0.809279884998797,NaN,NaN,NaN,NaN,60,
,A11,SYBR,ATPase,Unkn-04,A4PC,,32.7218626684985,32.4332836494504,0.809279884998797,NaN,NaN,NaN,NaN,60,
,A12,SYBR,ATPase,Unkn-04,A4PC,,33.0587184701821,32.4332836494504,0.809279884998797,NaN,NaN,NaN,NaN,60,
,B01,SYBR,ATPase,Unkn-05,A2PC,,29.2206817525732,30.6406983381525,1.26803538415326,NaN,NaN,NaN,NaN,60,
,B02,SYBR,ATPase,Unkn-05,A2PC,,31.0415490530398,30.6406983381525,1.26803538415326,NaN,NaN,NaN,NaN,60,
,B03,SYBR,ATPase,Unkn-05,A2PC,,31.6598642088446,30.6406983381525,1.26803538415326,NaN,NaN,NaN,NaN,60,
,B04,SYBR,ATPase,Unkn-06,A1PM,,25.8804129163516,25.9431151486948,0.596854026813657,NaN,NaN,NaN,NaN,60,
,B05,SYBR,ATPase,Unkn-06,A1PM,,25.380087554053,25.9431151486948,0.596854026813657,NaN,NaN,NaN,NaN,60,
,B06,SYBR,ATPase,Unkn-06,A1PM,,26.5688449756796,25.9431151486948,0.596854026813657,NaN,NaN,NaN,NaN,60,
,B07,SYBR,ATPase,Unkn-07,B1PC,,28.2028451806036,31.7203077886633,3.05746640004434,NaN,NaN,NaN,NaN,60,
,B08,SYBR,ATPase,Unkn-07,B1PC,,33.2169448575856,31.7203077886633,3.05746640004434,NaN,NaN,NaN,NaN,60,
,B09,SYBR,ATPase,Unkn-07,B1PC,,33.7411333278007,31.7203077886633,3.05746640004434,NaN,NaN,NaN,NaN,60,
,B10,SYBR,ATPase,Unkn-08,B2PC,,31.6158499290311,28.9594755841174,2.45549210328162,NaN,NaN,NaN,NaN,60,
,B11,SYBR,ATPase,Unkn-08,B2PC,,26.7726860741133,28.9594755841174,2.45549210328162,NaN,NaN,NaN,NaN,60,
,B12,SYBR,ATPase,Unkn-08,B2PC,,28.4898907492078,28.9594755841174,2.45549210328162,NaN,NaN,NaN,NaN,60,
,C01,SYBR,ATPase,Unkn-09,B3PC,,NaN,0,0,NaN,NaN,0,0,60,
,C02,SYBR,ATPase,Unkn-09,B3PC,,33.162740908402,32.9874217165348,0.247938778882819,NaN,NaN,NaN,NaN,60,
,C03,SYBR,ATPase,Unkn-09,B3PC,,32.8121025246677,32.9874217165348,0.247938778882819,NaN,NaN,NaN,NaN,60,
,C04,SYBR,ATPase,Unkn-10,B4PC,,33.7368404722087,34.0695584350907,0.470534255552933,NaN,NaN,NaN,NaN,60,
,C05,SYBR,ATPase,Unkn-10,B4PC,,34.4022763979727,34.0695584350907,0.470534255552933,NaN,NaN,NaN,NaN,60,
,C06,SYBR,ATPase,Unkn-10,B4PC,,NaN,0,0,NaN,NaN,0,0,60,
,C07,SYBR,ATPase,Unkn-11,B5PC,,33.2599098586726,33.7019987566344,0.973478254374582,NaN,NaN,NaN,NaN,60,
,C08,SYBR,ATPase,Unkn-11,B5PC,,33.0280136159009,33.7019987566344,0.973478254374582,NaN,NaN,NaN,NaN,60,
,C09,SYBR,ATPase,Unkn-11,B5PC,,34.8180727953297,33.7019987566344,0.973478254374582,NaN,NaN,NaN,NaN,60,
,C10,SYBR,ATPase,Unkn-12,A2PM,,31.87285283497,27.226747522521,4.11058197196917,NaN,NaN,NaN,NaN,60,
,C11,SYBR,ATPase,Unkn-12,A2PM,,25.7446248381151,27.226747522521,4.11058197196917,NaN,NaN,NaN,NaN,60,
,C12,SYBR,ATPase,Unkn-12,A2PM,,24.0627648944779,27.226747522521,4.11058197196917,NaN,NaN,NaN,NaN,60,
,D01,SYBR,ATPase,Unkn-13,A3PM,,37.0544241817586,30.8971151502606,6.73796971536074,NaN,NaN,NaN,NaN,60,
,D02,SYBR,ATPase,Unkn-13,A3PM,,23.6994929236533,30.8971151502606,6.73796971536074,NaN,NaN,NaN,NaN,60,
,D03,SYBR,ATPase,Unkn-13,A3PM,,31.9374283453701,30.8971151502606,6.73796971536074,NaN,NaN,NaN,NaN,60,
,D04,SYBR,ATPase,Unkn-14,A4PM,,30.8696907995987,31.7590585120746,1.34339255770254,NaN,NaN,NaN,NaN,60,
,D05,SYBR,ATPase,Unkn-14,A4PM,,31.1030733135579,31.7590585120746,1.34339255770254,NaN,NaN,NaN,NaN,60,
,D06,SYBR,ATPase,Unkn-14,A4PM,,33.3044114230673,31.7590585120746,1.34339255770254,NaN,NaN,NaN,NaN,60,
,D07,SYBR,ATPase,Unkn-15,A5PM,,23.0778627583397,24.4564009915199,1.70683048290176,NaN,NaN,NaN,NaN,60,
,D08,SYBR,ATPase,Unkn-15,A5PM,,23.9258362865966,24.4564009915199,1.70683048290176,NaN,NaN,NaN,NaN,60,
,D09,SYBR,ATPase,Unkn-15,A5PM,,26.3655039296234,24.4564009915199,1.70683048290176,NaN,NaN,NaN,NaN,60,
,D10,SYBR,ATPase,Unkn-16,B1PM,,31.0272966895474,27.4287098764304,5.08917027648714,NaN,NaN,NaN,NaN,60,
,D11,SYBR,ATPase,Unkn-16,B1PM,,NaN,0,0,NaN,NaN,0,0,60,
,D12,SYBR,ATPase,Unkn-16,B1PM,,23.8301230633133,27.4287098764304,5.08917027648714,NaN,NaN,NaN,NaN,60,
,E01,SYBR,ATPase,Unkn-17,B2PM,,30.2750957710032,27.1882574191935,4.3654486619826,NaN,NaN,NaN,NaN,60,
,E02,SYBR,ATPase,Unkn-17,B2PM,,24.1014190673839,27.1882574191935,4.3654486619826,NaN,NaN,NaN,NaN,60,
,E03,SYBR,ATPase,Unkn-17,B2PM,,NaN,0,0,NaN,NaN,0,0,60,
,E04,SYBR,ATPase,Unkn-18,B3PM,,38.1780121841564,27.8759844642092,8.92493431235012,NaN,NaN,NaN,NaN,60,
,E05,SYBR,ATPase,Unkn-18,B3PM,,22.9608119128381,27.8759844642092,8.92493431235012,NaN,NaN,NaN,NaN,60,
,E06,SYBR,ATPase,Unkn-18,B3PM,,22.489129295633,27.8759844642092,8.92493431235012,NaN,NaN,NaN,NaN,60,
,E07,SYBR,ATPase,Unkn-19,B4PM,,30.2698757878437,30.1958635021636,0.104669178190971,NaN,NaN,NaN,NaN,60,
,E08,SYBR,ATPase,Unkn-19,B4PM,,30.1218512164836,30.1958635021636,0.104669178190971,NaN,NaN,NaN,NaN,60,
,E09,SYBR,ATPase,Unkn-19,B4PM,,NaN,0,0,NaN,NaN,0,0,60,
,E10,SYBR,ATPase,Unkn-20,B5PM,,31.3505236269367,31.1446053234567,0.423629096315314,NaN,NaN,NaN,NaN,60,
,E11,SYBR,ATPase,Unkn-20,B5PM,,31.4259115103356,31.1446053234567,0.423629096315314,NaN,NaN,NaN,NaN,60,
,E12,SYBR,ATPase,Unkn-20,B5PM,,30.6573808330979,31.1446053234567,0.423629096315314,NaN,NaN,NaN,NaN,60,
,F01,SYBR,ATPase,NTC-01,,,NaN,0,0,NaN,NaN,0,0,60,
