,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_HSP70_F/R (S,Unkn-01,D2PC,,28.9419666427389,28.8278942296387,0.175004042760803,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_HSP70_F/R (S,Unkn-01,D2PC,,28.9153122663968,28.8278942296387,0.175004042760803,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_HSP70_F/R (S,Unkn-01,D2PC,,28.6264037797804,28.8278942296387,0.175004042760803,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_HSP70_F/R (S,Unkn-02,D3PC,,27.4533792720858,27.4529610237596,0.119715487447656,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_HSP70_F/R (S,Unkn-02,D3PC,,27.3330369601108,27.4529610237596,0.119715487447656,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_HSP70_F/R (S,Unkn-02,D3PC,,27.5724668390823,27.4529610237596,0.119715487447656,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_HSP70_F/R (S,Unkn-03,D4PC,,29.6145833730859,29.5900484103247,0.0212561278457153,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_HSP70_F/R (S,Unkn-03,D4PC,,29.5783722602576,29.5900484103247,0.0212561278457153,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_HSP70_F/R (S,Unkn-03,D4PC,,29.5771895976305,29.5900484103247,0.0212561278457153,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_HSP70_F/R (S,Unkn-04,D5PC,,29.4425833098008,29.2460175647105,0.176480557441359,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_HSP70_F/R (S,Unkn-04,D5PC,,29.1011855992888,29.2460175647105,0.176480557441359,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_HSP70_F/R (S,Unkn-04,D5PC,,29.194283785042,29.2460175647105,0.176480557441359,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_HSP70_F/R (S,Unkn-05,D1PM,,27.2153061404646,27.1776044793896,0.0330104257954543,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_HSP70_F/R (S,Unkn-05,D1PM,,27.1636143869991,27.1776044793896,0.0330104257954543,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_HSP70_F/R (S,Unkn-05,D1PM,,27.153892910705,27.1776044793896,0.0330104257954543,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_HSP70_F/R (S,Unkn-06,D2PM,,28.9962462304321,29.0235773733213,0.113318111398115,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_HSP70_F/R (S,Unkn-06,D2PM,,28.926424395587,29.0235773733213,0.113318111398115,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_HSP70_F/R (S,Unkn-06,D2PM,,29.1480614939448,29.0235773733213,0.113318111398115,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Cg_HSP70_F/R (S,Unkn-07,D3PM,,28.562728575955,28.241921599256,0.285137953007571,NaN,NaN,NaN,NaN,60,
,B08,SYBR,Cg_HSP70_F/R (S,Unkn-07,D3PM,,28.0173634928245,28.241921599256,0.285137953007571,NaN,NaN,NaN,NaN,60,
,B09,SYBR,Cg_HSP70_F/R (S,Unkn-07,D3PM,,28.1456727289884,28.241921599256,0.285137953007571,NaN,NaN,NaN,NaN,60,
,B10,SYBR,Cg_HSP70_F/R (S,Unkn-08,D4PM,,27.7368114509238,27.5461295595615,0.169378677066493,NaN,NaN,NaN,NaN,60,
,B11,SYBR,Cg_HSP70_F/R (S,Unkn-08,D4PM,,27.4131130452094,27.5461295595615,0.169378677066493,NaN,NaN,NaN,NaN,60,
,B12,SYBR,Cg_HSP70_F/R (S,Unkn-08,D4PM,,27.4884641825514,27.5461295595615,0.169378677066493,NaN,NaN,NaN,NaN,60,
,C01,SYBR,Cg_HSP70_F/R (S,Unkn-09,D4PM,,26.9227409860547,26.8932700259222,0.18778231039172,NaN,NaN,NaN,NaN,60,
,C02,SYBR,Cg_HSP70_F/R (S,Unkn-09,D4PM,,27.064574307675,26.8932700259222,0.18778231039172,NaN,NaN,NaN,NaN,60,
,C03,SYBR,Cg_HSP70_F/R (S,Unkn-09,D4PM,,26.6924947840368,26.8932700259222,0.18778231039172,NaN,NaN,NaN,NaN,60,
,C04,SYBR,Cg_HSP70_F/R (S,Unkn-10,A1PT,,22.1976871003261,22.2510896720867,0.0572924204246443,NaN,NaN,NaN,NaN,60,
,C05,SYBR,Cg_HSP70_F/R (S,Unkn-10,A1PT,,22.24397460933,22.2510896720867,0.0572924204246443,NaN,NaN,NaN,NaN,60,
,C06,SYBR,Cg_HSP70_F/R (S,Unkn-10,A1PT,,22.3116073066039,22.2510896720867,0.0572924204246443,NaN,NaN,NaN,NaN,60,
,C07,SYBR,Cg_HSP70_F/R (S,Unkn-11,A2PT,,22.2238171086483,22.1968700503434,0.051222272848844,NaN,NaN,NaN,NaN,60,
,C08,SYBR,Cg_HSP70_F/R (S,Unkn-11,A2PT,,22.2289938157634,22.1968700503434,0.051222272848844,NaN,NaN,NaN,NaN,60,
,C09,SYBR,Cg_HSP70_F/R (S,Unkn-11,A2PT,,22.1377992266183,22.1968700503434,0.051222272848844,NaN,NaN,NaN,NaN,60,
,C10,SYBR,Cg_HSP70_F/R (S,Unkn-12,A3PT,,19.9886517582387,19.7840947549906,0.210056643792161,NaN,NaN,NaN,NaN,60,
,C11,SYBR,Cg_HSP70_F/R (S,Unkn-12,A3PT,,19.5689396928332,19.7840947549906,0.210056643792161,NaN,NaN,NaN,NaN,60,
,C12,SYBR,Cg_HSP70_F/R (S,Unkn-12,A3PT,,19.7946928139,19.7840947549906,0.210056643792161,NaN,NaN,NaN,NaN,60,
,D01,SYBR,Cg_HSP70_F/R (S,Unkn-13,A4PT,,23.2217968363577,23.1820391686733,0.0428885530068047,NaN,NaN,NaN,NaN,60,
,D02,SYBR,Cg_HSP70_F/R (S,Unkn-13,A4PT,,23.1877322701165,23.1820391686733,0.0428885530068047,NaN,NaN,NaN,NaN,60,
,D03,SYBR,Cg_HSP70_F/R (S,Unkn-13,A4PT,,23.1365883995457,23.1820391686733,0.0428885530068047,NaN,NaN,NaN,NaN,60,
,D04,SYBR,Cg_HSP70_F/R (S,Unkn-14,A5PT,,21.0518851220427,21.1428569542862,0.110779672989631,NaN,NaN,NaN,NaN,60,
,D05,SYBR,Cg_HSP70_F/R (S,Unkn-14,A5PT,,21.1104632822518,21.1428569542862,0.110779672989631,NaN,NaN,NaN,NaN,60,
,D06,SYBR,Cg_HSP70_F/R (S,Unkn-14,A5PT,,21.2662224585642,21.1428569542862,0.110779672989631,NaN,NaN,NaN,NaN,60,
,D07,SYBR,Cg_HSP70_F/R (S,Unkn-15,B1PT,,23.6154434994819,23.4217749761064,0.213633259244911,NaN,NaN,NaN,NaN,60,
,D08,SYBR,Cg_HSP70_F/R (S,Unkn-15,B1PT,,23.192620849146,23.4217749761064,0.213633259244911,NaN,NaN,NaN,NaN,60,
