,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_Hsp90_F/R (S,Unkn-01,D2PC,,24.5596378319667,24.5330257613024,0.0616853003737268,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_Hsp90_F/R (S,Unkn-01,D2PC,,24.5769379446896,24.5330257613024,0.0616853003737268,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_Hsp90_F/R (S,Unkn-01,D2PC,,24.4625015072509,24.5330257613024,0.0616853003737268,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_Hsp90_F/R (S,Unkn-02,D3PC,,23.5099442556989,23.5334885311547,0.0382821569326298,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_Hsp90_F/R (S,Unkn-02,D3PC,,23.5776608827609,23.5334885311547,0.0382821569326298,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_Hsp90_F/R (S,Unkn-02,D3PC,,23.5128604550043,23.5334885311547,0.0382821569326298,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_Hsp90_F/R (S,Unkn-03,D4PC,,24.6199500014296,24.5674088231327,0.0620331344336843,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_Hsp90_F/R (S,Unkn-03,D4PC,,24.5833007553158,24.5674088231327,0.0620331344336843,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_Hsp90_F/R (S,Unkn-03,D4PC,,24.4989757126525,24.5674088231327,0.0620331344336843,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_Hsp90_F/R (S,Unkn-04,D5PC,,24.6928654273987,24.6287972170249,0.0586270825939619,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_Hsp90_F/R (S,Unkn-04,D5PC,,24.5778268205405,24.6287972170249,0.0586270825939619,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_Hsp90_F/R (S,Unkn-04,D5PC,,24.6156994031354,24.6287972170249,0.0586270825939619,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_Hsp90_F/R (S,Unkn-05,D1PM,,23.77046771108,23.7070054865966,0.060199721285162,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_Hsp90_F/R (S,Unkn-05,D1PM,,23.6998389014321,23.7070054865966,0.060199721285162,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_Hsp90_F/R (S,Unkn-05,D1PM,,23.6507098472777,23.7070054865966,0.060199721285162,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_Hsp90_F/R (S,Unkn-06,D2PM,,24.703525349573,24.6327630776859,0.0702616390986117,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_Hsp90_F/R (S,Unkn-06,D2PM,,24.5630130082871,24.6327630776859,0.0702616390986117,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_Hsp90_F/R (S,Unkn-06,D2PM,,24.6317508751977,24.6327630776859,0.0702616390986117,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Cg_Hsp90_F/R (S,Unkn-07,D3PM,,23.4885910142557,23.5690127877005,0.146918009820537,NaN,NaN,NaN,NaN,60,
,B08,SYBR,Cg_Hsp90_F/R (S,Unkn-07,D3PM,,23.4798631109709,23.5690127877005,0.146918009820537,NaN,NaN,NaN,NaN,60,
,B09,SYBR,Cg_Hsp90_F/R (S,Unkn-07,D3PM,,23.7385842378749,23.5690127877005,0.146918009820537,NaN,NaN,NaN,NaN,60,
,B10,SYBR,Cg_Hsp90_F/R (S,Unkn-08,D4PM,,23.927454238756,24.0121702858601,0.080867866136061,NaN,NaN,NaN,NaN,60,
,B11,SYBR,Cg_Hsp90_F/R (S,Unkn-08,D4PM,,24.0205135288648,24.0121702858601,0.080867866136061,NaN,NaN,NaN,NaN,60,
,B12,SYBR,Cg_Hsp90_F/R (S,Unkn-08,D4PM,,24.0885430899595,24.0121702858601,0.080867866136061,NaN,NaN,NaN,NaN,60,
,C01,SYBR,Cg_Hsp90_F/R (S,Unkn-09,D4PM,,23.2071863698786,23.1812790164275,0.091115768353802,NaN,NaN,NaN,NaN,60,
