SampleID,Run ID,Assay Name,Test Name,Test Date,Qubit? tube conc.,Units,Original sample conc.,Units,Sample Volume (?L),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
A1C,2025-09-10_083800,RNA Broad range,Sample_#250910-083824,2025/09/10 08:38:24,3.05,?g/mL,610,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,5056.81
A2C,2025-09-10_083800,RNA Broad range,Sample_#250910-083831,2025/09/10 08:38:31,1.22,?g/mL,244,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2301.54
A3C,2025-09-10_083800,RNA Broad range,Sample_#250910-083838,2025/09/10 08:38:38,2.9,?g/mL,580,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4854.83
A4C,2025-09-10_083800,RNA Broad range,Sample_#250910-083844,2025/09/10 08:38:44,2.29,?g/mL,458,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3953.24
A5C,2025-09-10_083800,RNA Broad range,Sample_#250910-083850,2025/09/10 08:38:50,2.67,?g/mL,534,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4520.78
B1C,2025-09-10_083800,RNA Broad range,Sample_#250910-083856,2025/09/10 08:38:56,1.3,?g/mL,260,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2429.99
B2C,2025-09-10_083800,RNA Broad range,Sample_#250910-083904,2025/09/10 08:39:04,2.56,?g/mL,512,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4347.89
B3C,2025-09-10_083800,RNA Broad range,Sample_#250910-083910,2025/09/10 08:39:10,1.97,?g/mL,394,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3471.83
B4C,2025-09-10_083800,RNA Broad range,Sample_#250910-083917,2025/09/10 08:39:17,2.66,?g/mL,532,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4496.32
B5C,2025-09-10_083800,RNA Broad range,Sample_#250910-083924,2025/09/10 08:39:24,2.87,?g/mL,574,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4805.39
C1C,2025-09-10_083800,RNA Broad range,Sample_#250910-083931,2025/09/10 08:39:31,3.76,?g/mL,752,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,6050.41
C2C,2025-09-10_083800,RNA Broad range,Sample_#250910-083937,2025/09/10 08:39:37,1.52,?g/mL,304,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2771.87
C3C,2025-09-10_083800,RNA Broad range,Sample_#250910-083944,2025/09/10 08:39:44,3.12,?g/mL,624,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,5160.03
C4C,2025-09-10_083800,RNA Broad range,Sample_#250910-083951,2025/09/10 08:39:51,2.72,?g/mL,544,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4595.68
C5C,2025-09-10_083800,RNA Broad range,Sample_#250910-083958,2025/09/10 08:39:58,2.71,?g/mL,542,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4570.96
D1C,2025-09-10_083800,RNA Broad range,Sample_#250910-084005,2025/09/10 08:40:05,1.02,?g/mL,204,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1993.9
D2C,2025-09-10_083800,RNA Broad range,Sample_#250910-084012,2025/09/10 08:40:12,1.59,?g/mL,318,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2889.46
D3C,2025-09-10_083800,RNA Broad range,Sample_#250910-084019,2025/09/10 08:40:19,2.56,?g/mL,512,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4361.96
D4C,2025-09-10_083800,RNA Broad range,Sample_#250910-084025,2025/09/10 08:40:25,1.87,?g/mL,374,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3323.01
D5C,2025-09-10_083800,RNA Broad range,Sample_#250910-084033,2025/09/10 08:40:33,2.85,?g/mL,570,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4782.69
A1M,2025-09-10_083800,RNA Broad range,Sample_#250910-084040,2025/09/10 08:40:40,1.7,?g/mL,340,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3059.04
A2M,2025-09-10_083800,RNA Broad range,Sample_#250910-084046,2025/09/10 08:40:46,1.58,?g/mL,316,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2865.99
A3M,2025-09-10_083800,RNA Broad range,Sample_#250910-084053,2025/09/10 08:40:53,1.94,?g/mL,388,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3420.28
A4M,2025-09-10_083800,RNA Broad range,Sample_#250910-084059,2025/09/10 08:40:59,2.22,?g/mL,444,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3842.47
A5M,2025-09-10_083800,RNA Broad range,Sample_#250910-084107,2025/09/10 08:41:07,3.21,?g/mL,642,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,5283.69
B1M,2025-09-10_083800,RNA Broad range,Sample_#250910-084113,2025/09/10 08:41:13,1.68,?g/mL,336,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3020.09
B2M,2025-09-10_083800,RNA Broad range,Sample_#250910-084120,2025/09/10 08:41:20,1.47,?g/mL,294,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2705.03
B3M,2025-09-10_083800,RNA Broad range,Sample_#250910-084126,2025/09/10 08:41:26,3.04,?g/mL,608,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,5050.27
B4M,2025-09-10_083800,RNA Broad range,Sample_#250910-084134,2025/09/10 08:41:34,0.854,?g/mL,171,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1732.72
B5M,2025-09-10_083800,RNA Broad range,Sample_#250910-084140,2025/09/10 08:41:40,2.18,?g/mL,436,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3785.16
C1M,2025-09-10_083800,RNA Broad range,Sample_#250910-084147,2025/09/10 08:41:47,1.26,?g/mL,252,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2366.07
C2M,2025-09-10_083800,RNA Broad range,Sample_#250910-084154,2025/09/10 08:41:54,0.77,?g/mL,154,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1599.7
C3M,2025-09-10_083800,RNA Broad range,Sample_#250910-084202,2025/09/10 08:42:02,2.04,?g/mL,408,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3573.72
C4M,2025-09-10_083800,RNA Broad range,Sample_#250910-084209,2025/09/10 08:42:09,3.15,?g/mL,630,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,5208.97
C5M,2025-09-10_083800,RNA Broad range,Sample_#250910-084216,2025/09/10 08:42:16,0.657,?g/mL,131,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1422.07
D1M,2025-09-10_083800,RNA Broad range,Sample_#250910-084222,2025/09/10 08:42:22,0.922,?g/mL,184,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1839.18
D2M,2025-09-10_083800,RNA Broad range,Sample_#250910-084229,2025/09/10 08:42:29,0.513,?g/mL,103,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1197.96
D3M,2025-09-10_083800,RNA Broad range,Sample_#250910-084235,2025/09/10 08:42:35,0.557,?g/mL,111,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1265.41
D4M,2025-09-10_083800,RNA Broad range,Sample_#250910-084242,2025/09/10 08:42:42,2.05,?g/mL,410,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3595.57
D5M,2025-09-10_083800,RNA Broad range,Sample_#250910-084249,2025/09/10 08:42:49,1.32,?g/mL,264,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2459.63
A1T,2025-09-10_083800,RNA Broad range,Sample_#250910-084255,2025/09/10 08:42:55,1.79,?g/mL,358,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3201.31
A2T,2025-09-10_083800,RNA Broad range,Sample_#250910-084302,2025/09/10 08:43:02,2.42,?g/mL,484,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4152.62
A3T,2025-09-10_083800,RNA Broad range,Sample_#250910-084308,2025/09/10 08:43:08,1.03,?g/mL,206,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2005.18
A4T,2025-09-10_083800,RNA Broad range,Sample_#250910-084315,2025/09/10 08:43:15,1.24,?g/mL,248,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2333.76
A5T,2025-09-10_083800,RNA Broad range,Sample_#250910-084323,2025/09/10 08:43:23,0.694,?g/mL,139,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,1479.81
B1T,2025-09-10_083800,RNA Broad range,Sample_#250910-084333,2025/09/10 08:43:33,1.46,?g/mL,292,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2688.8
B2T,2025-09-10_083800,RNA Broad range,Sample_#250910-084341,2025/09/10 08:43:41,1.38,?g/mL,276,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2552.99
B3T,2025-09-10_083800,RNA Broad range,Sample_#250910-084350,2025/09/10 08:43:50,1.78,?g/mL,356,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3179.29
B4T,2025-09-10_083800,RNA Broad range,Sample_#250910-084357,2025/09/10 08:43:57,1.96,?g/mL,392,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3451.19
B5T,2025-09-10_083800,RNA Broad range,Sample_#250910-084403,2025/09/10 08:44:03,2.5,?g/mL,500,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4270.29
C1T,2025-09-10_083800,RNA Broad range,Sample_#250910-084409,2025/09/10 08:44:09,2.44,?g/mL,488,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4183.43
C2T,2025-09-10_083800,RNA Broad range,Sample_#250910-084416,2025/09/10 08:44:16,3.31,?g/mL,662,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,5428.93
C3T,2025-09-10_083800,RNA Broad range,Sample_#250910-084422,2025/09/10 08:44:22,2.97,?g/mL,594,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4950.94
C4T,2025-09-10_083800,RNA Broad range,Sample_#250910-084428,2025/09/10 08:44:28,1.7,?g/mL,340,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3053.31
C5T,2025-09-10_083800,RNA Broad range,Sample_#250910-084438,2025/09/10 08:44:38,2.99,?g/mL,598,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4972.08
D1T,2025-09-10_083800,RNA Broad range,Sample_#250910-084444,2025/09/10 08:44:44,1.75,?g/mL,350,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3128.54
D2T,2025-09-10_083800,RNA Broad range,Sample_#250910-084450,2025/09/10 08:44:50,4.61,?g/mL,922,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,7148.79
D3T,2025-09-10_083800,RNA Broad range,Sample_#250910-084457,2025/09/10 08:44:57,1.64,?g/mL,328,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2968.71
D4T,2025-09-10_083800,RNA Broad range,Sample_#250910-084503,2025/09/10 08:45:03,1.37,?g/mL,274,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2540.96
D5T,2025-09-10_083800,RNA Broad range,Sample_#250910-084510,2025/09/10 08:45:10,1.24,?g/mL,248,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2345.03
C1PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084517,2025/09/10 08:45:17,2.59,?g/mL,518,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,4401.77
C2PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084524,2025/09/10 08:45:24,2.16,?g/mL,432,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3764.28
C3PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084530,2025/09/10 08:45:30,1.81,?g/mL,362,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3227.54
C4PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084537,2025/09/10 08:45:37,Out of range,?g/mL,Out of range,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,475.96
C5PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084559,2025/09/10 08:45:59,Out of range,?g/mL,Out of range,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,462.79
D1PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084615,2025/09/10 08:46:15,1.24,?g/mL,248,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2345.89
D2PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084622,2025/09/10 08:46:22,1.71,?g/mL,342,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3068.93
D3PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084633,2025/09/10 08:46:33,1.76,?g/mL,352,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3157.74
D4PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084641,2025/09/10 08:46:41,1.5,?g/mL,300,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,2753.03
D5PC,2025-09-10_083800,RNA Broad range,Sample_#250910-084648,2025/09/10 08:46:48,2.08,?g/mL,416,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,3645.89
C1PM,2025-09-10_083800,RNA Broad range,Sample_#250910-084655,2025/09/10 08:46:55,Out of range,?g/mL,Out of range,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,471.53
C2PM,2025-09-10_083800,RNA Broad range,Sample_#250910-084710,2025/09/10 08:47:10,Out of range,?g/mL,Out of range,ng/?L,1,200,456.99,7635.7,,Red,Far Red,,468.31
