sample_ID,Run ID,Assay Name,Test Name,Test Date,Qubit? tube conc.,Units,Original sample conc.,Units,Sample Volume (?L),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
4B,2024-07-18_122416,dsDNA Broad range,Sample_#240718-122444,2024/07/18 12:24:44,0.0468,?g/mL,9.36,ng/?L,1,200,69.93,22881.7,,Blue,Green,347.25,
11B,2024-07-18_122416,dsDNA Broad range,Sample_#240718-122452,2024/07/18 12:24:52,1.06,?g/mL,212,ng/?L,1,200,69.93,22881.7,,Blue,Green,5989.52,
30B,2024-07-18_122416,dsDNA Broad range,Sample_#240718-122501,2024/07/18 12:25:01,5.5,?g/mL,1100,ng/?L,1,200,69.93,22881.7,,Blue,Green,24752.47,
39B,2024-07-18_122416,dsDNA Broad range,Sample_#240718-122510,2024/07/18 12:25:10,2.53,?g/mL,506,ng/?L,1,200,69.93,22881.7,,Blue,Green,13108.33,
47B,2024-07-18_122416,dsDNA Broad range,Sample_#240718-122519,2024/07/18 12:25:19,0.0165,?g/mL,3.3,ng/?L,1,200,69.93,22881.7,,Blue,Green,168.02,
70B,2024-07-18_122416,dsDNA Broad range,Sample_#240718-122527,2024/07/18 12:25:27,4.15,?g/mL,830,ng/?L,1,200,69.93,22881.7,,Blue,Green,19774.16,
